Epoch,Train Loss,Validation Loss
0,24.581219,22.374509
1,24.577906,22.37127
2,24.574678,22.368045
3,24.571496,22.36487
4,24.568374,22.361755
5,24.565305,22.358704
6,24.5623,22.355727
7,24.559449,22.35291
8,24.556697,22.350224
9,24.554076,22.347685
10,24.551689,22.345363
11,24.549486,22.343222
12,24.547464,22.341266
13,24.545683,22.339575
14,24.544101,22.338093
15,24.542732,22.336821
16,24.541596,22.335786
17,24.540666,22.334944
18,24.539923,22.33429
19,24.539354,22.333798
20,24.538942,22.333454
21,24.538658,22.333225
22,24.538479,22.333088
23,24.538378,22.333013
24,24.538321,22.33297
