Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -191.2528    -191.2528       0.0000     0.0
0.0100          55.2487    -217.6927     272.9414  351928.2
0.0200         -99.9334    -205.6510     105.7176  136311.4
0.0300        1144.1818    -207.2110    1351.3928  1742474.2
0.0400        2245.3465    -205.8235    2451.1701  3160517.5
0.0500         -86.5668    -218.0748     131.5080  169565.2
0.0600         633.6835    -188.7349     822.4184  1060419.1
0.0700         531.9013    -191.5927     723.4940  932866.9
0.0800         463.0195    -204.4433     667.4628  860620.8
0.0900         270.5238    -187.7885     458.3123  590944.0
0.1000         535.6954    -180.9624     716.6578  924052.3
0.1100        2078.4043    -189.3310    2267.7353  2923998.2
0.1200        3491.8816    -176.9805    3668.8620  4730598.9
0.1300        6685.8945    -191.0865    6876.9809  8867119.7
0.1400        7227.4683    -194.8300    7422.2983  9570247.2
0.1500        7646.9379    -213.6802    7860.6181  10135412.9
0.1600        3194.9468    -174.9546    3369.9014  4345121.7
0.1700        3836.0303    -202.0481    4038.0783  5206663.2
0.1800        1402.2515    -190.0909    1592.3424  2053152.5
0.1900         388.9865    -189.2166     578.2031  745530.1
0.2000        1314.8491    -180.9032    1495.7523  1928610.1
0.2100        1403.1006    -204.8643    1607.9648  2073295.9
0.2200        1897.9917    -196.5788    2094.5704  2700721.0
0.2300        3091.2069    -188.9358    3280.1427  4229387.6
0.2400        4090.0375    -199.3757    4289.4132  5530732.2
0.2500        4539.8231    -185.6058    4725.4289  6092927.1
0.2600        4233.8617    -199.7341    4433.5958  5716640.1
0.2700        4069.6971    -198.7417    4268.4388  5503688.0
0.2800        5700.9052    -200.6943    5901.5995  7609471.3
0.2900        4506.2112    -192.3512    4698.5623  6058285.6
0.3000        6117.8882    -193.3571    6311.2453  8137665.0
0.3100        6331.5683    -201.4671    6533.0354  8423639.2
0.3200        5121.3355    -189.1464    5310.4819  6847289.4
0.3300        4503.3295    -193.8388    4697.1684  6056488.2
0.3400        3691.5431    -208.5628    3900.1058  5028762.7
0.3500        4504.3562    -178.3138    4682.6699  6037794.1
0.3600        3758.4096    -192.6844    3951.0941  5094506.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -191.2528    -191.2528       0.0000     0.0
0.0100          55.2487    -217.6927     272.9414  351928.2
0.0200         -99.9334    -205.6510     105.7176  136311.4
0.0300        1144.1818    -207.2110    1351.3928  1742474.2
0.0400        2245.3465    -205.8235    2451.1701  3160517.5
0.0500         -86.5668    -218.0748     131.5080  169565.2
0.0600         633.6835    -188.7349     822.4184  1060419.1
0.0700         531.9013    -191.5927     723.4940  932866.9
0.0800         463.0195    -204.4433     667.4628  860620.8
0.0900         270.5238    -187.7885     458.3123  590944.0
0.1000         535.6954    -180.9624     716.6578  924052.3
0.1100        2078.4043    -189.3310    2267.7353  2923998.2
0.1200        3491.8816    -176.9805    3668.8620  4730598.9
0.1300        6685.8945    -191.0865    6876.9809  8867119.7
0.1400        7227.4683    -194.8300    7422.2983  9570247.2
0.1500        7646.9379    -213.6802    7860.6181  10135412.9
0.1600        3194.9468    -174.9546    3369.9014  4345121.7
0.1700        3836.0303    -202.0481    4038.0783  5206663.2
0.1800        1402.2515    -190.0909    1592.3424  2053152.5
0.1900         388.9865    -189.2166     578.2031  745530.1
0.2000        1314.8491    -180.9032    1495.7523  1928610.1
0.2100        1403.1006    -204.8643    1607.9648  2073295.9
0.2200        1897.9917    -196.5788    2094.5704  2700721.0
0.2300        3091.2069    -188.9358    3280.1427  4229387.6
0.2400        4090.0375    -199.3757    4289.4132  5530732.2
0.2500        4539.8231    -185.6058    4725.4289  6092927.1
0.2600        4233.8617    -199.7341    4433.5958  5716640.1
0.2700        4069.6971    -198.7417    4268.4388  5503688.0
0.2800        5700.9052    -200.6943    5901.5995  7609471.3
0.2900        4506.2112    -192.3512    4698.5623  6058285.6
0.3000        6117.8882    -193.3571    6311.2453  8137665.0
0.3100        6331.5683    -201.4671    6533.0354  8423639.2
0.3200        5121.3355    -189.1464    5310.4819  6847289.4
0.3300        4503.3295    -193.8388    4697.1684  6056488.2
0.3400        3691.5431    -208.5628    3900.1058  5028762.7
0.3500        4504.3562    -178.3138    4682.6699  6037794.1
0.3600        3758.4096    -192.6844    3951.0941  5094506.5
0.3700        5348.9034    -205.3273    5554.2308  7161577.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -191.2528    -191.2528       0.0000     0.0
0.0100          55.2487    -217.6927     272.9414  351928.2
0.0200         -99.9334    -205.6510     105.7176  136311.4
0.0300        1144.1818    -207.2110    1351.3928  1742474.2
0.0400        2245.3465    -205.8235    2451.1701  3160517.5
0.0500         -86.5668    -218.0748     131.5080  169565.2
0.0600         633.6835    -188.7349     822.4184  1060419.1
0.0700         531.9013    -191.5927     723.4940  932866.9
0.0800         463.0195    -204.4433     667.4628  860620.8
