Epoch,Train Loss,Validation Loss
0,24.282719,25.602735
1,24.258883,25.577062
2,24.230056,25.545478
3,24.193848,25.504367
4,24.146272,25.44993
5,24.083678,25.38005
6,24.003363,25.288643
7,23.898753,25.171339
8,23.764364,25.020488
9,23.595713,24.830462
10,23.381169,24.58707
11,23.111199,24.292079
12,22.782489,23.925129
13,22.381569,23.488179
14,21.904061,22.971457
15,21.349581,22.374503
16,20.706708,21.681955
17,19.976813,20.919248
18,19.166042,20.069741
19,18.30186,19.160988
20,17.359935,18.192015
21,16.358945,17.168229
22,15.342885,16.125397
23,14.266164,15.055714
24,13.215112,13.998512
25,12.156787,12.92796
26,11.202981,11.908675
27,10.284214,10.9301
28,9.399623,9.962554
29,8.578813,9.034899
30,7.8972,8.170795
31,7.28804,7.490565
32,6.782287,6.862946
33,6.415328,6.345351
34,6.06497,5.903695
35,5.815604,5.553961
36,5.615301,5.257833
37,5.448841,5.018891
38,5.312732,4.86511
39,5.201103,4.748127
40,5.115618,4.64273
41,5.063322,4.571796
42,5.004299,4.518065
43,4.974622,4.463533
44,4.947059,4.419306
45,4.927886,4.378846
46,4.904702,4.347634
47,4.89157,4.306607
48,4.877372,4.291439
49,4.872284,4.265933
50,4.860285,4.254976
51,4.847163,4.242976
52,4.836709,4.231255
53,4.833073,4.212839
54,4.822617,4.211216
55,4.816375,4.199201
56,4.814223,4.186871
57,4.808405,4.189695
58,4.802338,4.184807
59,4.797386,4.179296
60,4.79465,4.177767
61,4.790344,4.17497
62,4.783476,4.173356
63,4.778722,4.170453
64,4.773591,4.169368
65,4.768361,4.167618
66,4.766058,4.165469
67,4.760617,4.166078
68,4.754381,4.162969
69,4.752566,4.162598
70,4.749022,4.159851
71,4.744564,4.161078
72,4.74324,4.158355
73,4.738682,4.157251
74,4.73732,4.155583
75,4.734278,4.155337
76,4.733273,4.152875
77,4.730444,4.153142
78,4.726898,4.153899
79,4.725646,4.151841
80,4.72332,4.151643
81,4.721557,4.151928
82,4.71997,4.151626
83,4.71969,4.150143
84,4.716601,4.150907
85,4.716415,4.149629
86,4.714759,4.150463
87,4.713943,4.150026
88,4.71293,4.149807
89,4.712336,4.149341
90,4.711789,4.149328
91,4.711022,4.149193
92,4.710739,4.148989
93,4.710229,4.149171
94,4.71005,4.149
95,4.709551,4.148778
96,4.709279,4.148795
97,4.709001,4.148856
98,4.708828,4.148648
99,4.708749,4.148639
