Epoch,Train Loss,Validation Loss
0,7.603978,4.664839
1,5.790314,4.295747
2,4.55431,3.940496
3,5.3225,8.027423
4,5.131202,3.727673
5,4.056451,3.430931
6,3.488255,7.879716
7,2.820249,6.157137
8,2.250612,3.38728
9,2.597316,3.838342
10,2.287109,2.987321
11,2.249844,6.007813
12,2.22314,2.80157
13,1.911259,2.791331
14,1.766336,3.966903
15,1.899949,4.370056
16,1.434116,3.697057
17,1.248445,4.417121
18,1.827138,3.817564
19,1.223004,4.952159
20,1.701027,4.117978
21,1.37985,3.763198
22,1.090862,3.509009
23,0.904203,3.774228
24,0.778628,3.677718
25,0.920133,3.298275
26,0.959202,3.589695
27,0.915956,3.336871
28,0.831977,3.376745
29,0.870745,3.49735
30,0.753108,3.45855
31,0.573276,3.056113
32,0.582605,3.827468
33,0.462607,3.551135
34,0.381,3.363489
35,0.395108,3.549779
36,0.563343,3.950992
37,0.464719,3.625
38,0.470542,3.738888
39,0.291198,3.712417
40,0.235319,3.520764
41,0.199822,3.617507
42,0.165181,3.70488
43,0.202836,3.551425
44,0.142299,3.548893
45,0.143207,3.522259
46,0.15502,3.498081
47,0.142372,3.599705
48,0.10285,3.600669
49,0.134989,3.563898
50,0.147005,3.629955
51,0.153746,3.645862
52,0.142831,3.584562
53,0.157181,3.50152
54,0.124931,3.674609
55,0.12501,3.517585
56,0.095473,3.521133
57,0.083917,3.554441
58,0.06264,3.540262
59,0.08962,3.628751
60,0.107621,3.549369
61,0.097692,3.574455
62,0.078652,3.497515
63,0.077245,3.550329
64,0.082544,3.586726
65,0.064092,3.566142
66,0.054987,3.55317
67,0.030895,3.547035
68,0.02298,3.562156
69,0.012703,3.561972
70,0.011445,3.556658
71,0.00765,3.557505
72,0.006751,3.560962
73,0.005782,3.559797
74,0.005148,3.557537
75,0.004655,3.55658
76,0.003836,3.558357
77,0.00315,3.559809
78,0.002772,3.557073
79,0.002698,3.557539
80,0.001983,3.557166
81,0.001952,3.557718
82,0.001705,3.557884
83,0.001785,3.558201
84,0.001565,3.558563
85,0.001498,3.557736
86,0.001319,3.557077
87,0.001301,3.557396
88,0.001095,3.557753
89,0.001166,3.557767
90,0.001109,3.557899
91,0.001053,3.557997
92,0.000961,3.557811
93,0.00093,3.557782
94,0.001034,3.557693
95,0.000875,3.557781
96,0.000856,3.55792
97,0.000906,3.557864
98,0.000863,3.55782
99,0.000787,3.557813
