Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1168.330    -1182.925       14.596   818.2
0.0050        -1168.108    -1181.903       13.795   773.3
0.0100        -1167.795    -1179.528       11.734   657.8
0.0150        -1167.270    -1177.206        9.935   557.0
0.0200        -1166.626    -1175.943        9.317   522.3
0.0250        -1165.933    -1174.858        8.924   500.3
0.0300        -1165.205    -1173.844        8.639   484.3
0.0350        -1164.462    -1173.188        8.726   489.2
0.0400        -1163.755    -1173.109        9.354   524.4
0.0450        -1163.114    -1173.012        9.898   554.9
0.0500        -1162.502    -1172.422        9.919   556.1
0.0550        -1161.885    -1171.743        9.859   552.7
0.0600        -1161.281    -1171.591       10.310   578.0
0.0650        -1160.740    -1171.761       11.021   617.8
0.0700        -1160.259    -1171.568       11.309   634.0
0.0750        -1159.770    -1170.806       11.036   618.7
0.0800        -1159.271    -1170.361       11.089   621.7
0.0850        -1158.761    -1169.655       10.894   610.7
0.0900        -1158.256    -1169.350       11.094   622.0
0.0950        -1157.761    -1168.877       11.116   623.1
0.1000        -1157.265    -1168.232       10.966   614.8
0.1050        -1156.733    -1167.134       10.401   583.1
0.1100        -1156.167    -1166.602       10.434   585.0
0.1150        -1155.636    -1166.630       10.994   616.3
0.1200        -1155.170    -1167.097       11.927   668.6
0.1250        -1154.770    -1167.093       12.322   690.8
0.1300        -1154.437    -1167.684       13.247   742.6
0.1350        -1154.174    -1167.958       13.784   772.7
0.1400        -1153.970    -1168.457       14.487   812.1
0.1450        -1153.820    -1168.326       14.506   813.2
0.1500        -1153.644    -1167.994       14.350   804.5
0.1550        -1153.491    -1168.192       14.701   824.2
0.1600        -1153.349    -1168.080       14.731   825.8
0.1650        -1153.251    -1168.564       15.313   858.5
0.1700        -1153.197    -1168.631       15.434   865.2
0.1750        -1153.144    -1168.571       15.428   864.9
0.1800        -1153.053    -1168.033       14.981   839.8
0.1850        -1152.929    -1167.896       14.966   839.0
0.1900        -1152.826    -1168.078       15.253   855.1
0.1950        -1152.736    -1167.922       15.187   851.4
0.2000        -1152.673    -1168.180       15.507   869.3
0.2050        -1152.647    -1168.505       15.858   889.0
0.2100        -1152.664    -1169.305       16.641   932.9
0.2150        -1152.728    -1169.642       16.914   948.2
0.2200        -1152.806    -1169.783       16.976   951.7
0.2250        -1152.892    -1169.890       16.998   952.9
0.2300        -1152.969    -1169.999       17.030   954.7
0.2350        -1153.081    -1170.302       17.221   965.4
0.2400        -1153.171    -1170.080       16.909   948.0
0.2450        -1153.247    -1169.960       16.713   937.0
0.2500        -1153.290    -1169.847       16.558   928.2
0.2550        -1153.364    -1170.397       17.033   954.9
0.2600        -1153.440    -1170.109       16.669   934.5
0.2650        -1153.493    -1169.770       16.277   912.5
0.2700        -1153.503    -1169.402       15.899   891.3
0.2750        -1153.502    -1169.503       16.001   897.0
0.2800        -1153.490    -1169.475       15.985   896.2
0.2850        -1153.505    -1169.857       16.352   916.7
0.2900        -1153.518    -1169.647       16.129   904.2
0.2950        -1153.526    -1169.442       15.915   892.2
0.3000        -1153.496    -1168.983       15.487   868.2
0.3050        -1153.454    -1169.011       15.557   872.1
0.3100        -1153.427    -1169.036       15.609   875.1
0.3150        -1153.396    -1168.959       15.562   872.4
0.3200        -1153.339    -1168.484       15.144   849.0
0.3250        -1153.240    -1168.307       15.067   844.7
0.3300        -1153.124    -1167.979       14.855   832.8
0.3350        -1152.980    -1167.671       14.691   823.6
0.3400        -1152.863    -1167.907       15.043   843.3
0.3450        -1152.794    -1168.194       15.400   863.3
0.3500        -1152.745    -1168.356       15.611   875.1
0.3550        -1152.678    -1167.914       15.237   854.2
0.3600        -1152.551    -1166.937       14.386   806.5
0.3650        -1152.374    -1166.340       13.966   783.0
0.3700        -1152.180    -1166.352       14.172   794.5
0.3750        -1152.024    -1167.004       14.981   839.8
0.3800        -1151.928    -1167.330       15.403   863.5
0.3850        -1151.862    -1167.555       15.692   879.7
0.3900        -1151.830    -1167.493       15.663   878.1
0.3950        -1151.740    -1166.579       14.839   831.9
0.4000        -1151.590    -1165.864       14.274   800.2
0.4050        -1151.395    -1165.550       14.156   793.6
0.4100        -1151.243    -1166.140       14.896   835.1
0.4150        -1151.175    -1166.756       15.582   873.5
0.4200        -1151.133    -1166.856       15.723   881.5
0.4250        -1151.112    -1167.133       16.021   898.1
0.4300        -1151.108    -1167.013       15.905   891.6
0.4350        -1151.090    -1166.996       15.905   891.7
0.4400        -1151.069    -1166.922       15.854   888.8
0.4450        -1151.061    -1167.164       16.103   902.8
0.4500        -1151.068    -1167.304       16.236   910.2
0.4550        -1151.111    -1167.940       16.828   943.4
0.4600        -1151.204    -1168.240       17.036   955.0
0.4650        -1151.307    -1168.560       17.253   967.2
0.4700        -1151.427    -1168.458       17.032   954.8
0.4750        -1151.505    -1168.115       16.610   931.2
0.4800        -1151.538    -1167.911       16.373   917.9
0.4850        -1151.582    -1168.485       16.903   947.6
0.4900        -1151.689    -1169.074       17.385   974.6
0.4950        -1151.807    -1168.953       17.146   961.2
0.5000        -1151.892    -1168.457       16.566   928.7
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1164.917    -1180.286       15.370   867.9
0.0050        -1164.729    -1178.958       14.229   803.5
0.0100        -1164.441    -1176.087       11.646   657.7
0.0150        -1163.921    -1173.927       10.006   565.1
0.0200        -1163.315    -1173.194        9.879   557.8
0.0250        -1162.704    -1172.306        9.602   542.2
0.0300        -1162.021    -1170.525        8.503   480.2
0.0350        -1161.238    -1169.134        7.897   445.9
0.0400        -1160.460    -1169.148        8.688   490.6
0.0450        -1159.787    -1169.543        9.756   550.9
0.0500        -1159.178    -1168.987        9.809   553.9
0.0550        -1158.544    -1168.011        9.467   534.6
0.0600        -1157.915    -1168.081       10.166   574.0
0.0650        -1157.412    -1169.274       11.862   669.9
0.0700        -1157.058    -1169.865       12.806   723.2
0.0750        -1156.723    -1168.809       12.087   682.5
0.0800        -1156.275    -1167.130       10.854   612.9
0.0850        -1155.746    -1166.385       10.638   600.8
0.0900        -1155.232    -1166.177       10.946   618.1
0.0950        -1154.718    -1165.218       10.499   592.9
0.1000        -1154.134    -1163.886        9.752   550.7
0.1050        -1153.519    -1163.554       10.035   566.7
0.1100        -1152.972    -1164.045       11.073   625.3
0.1150        -1152.530    -1164.525       11.994   677.3
0.1200        -1152.169    -1164.875       12.706   717.5
0.1250        -1151.883    -1165.442       13.559   765.7
0.1300        -1151.691    -1166.306       14.615   825.3
0.1350        -1151.614    -1167.331       15.717   887.5
0.1400        -1151.615    -1167.577       15.962   901.4
0.1450        -1151.596    -1167.022       15.426   871.1
0.1500        -1151.530    -1166.650       15.120   853.8
0.1550        -1151.448    -1166.474       15.027   848.6
0.1600        -1151.350    -1166.207       14.857   839.0
0.1650        -1151.243    -1166.095       14.852   838.7
0.1700        -1151.143    -1166.121       14.978   845.8
0.1750        -1151.054    -1166.176       15.122   853.9
0.1800        -1150.985    -1166.248       15.263   861.9
0.1850        -1150.912    -1165.966       15.054   850.1
0.1900        -1150.820    -1165.866       15.047   849.7
0.1950        -1150.756    -1166.351       15.596   880.7
0.2000        -1150.743    -1166.711       15.968   901.7
0.2050        -1150.749    -1166.813       16.064   907.1
0.2100        -1150.765    -1166.870       16.106   909.5
0.2150        -1150.778    -1166.781       16.002   903.7
0.2200        -1150.803    -1167.174       16.371   924.5
0.2250        -1150.833    -1166.921       16.088   908.5
0.2300        -1150.798    -1165.907       15.108   853.2
0.2350        -1150.687    -1165.214       14.528   820.4
0.2400        -1150.571    -1165.723       15.153   855.7
0.2450        -1150.550    -1166.951       16.400   926.1
0.2500        -1150.628    -1167.549       16.921   955.5
0.2550        -1150.720    -1167.531       16.811   949.3
0.2600        -1150.794    -1167.454       16.660   940.8
0.2650        -1150.871    -1167.682       16.811   949.3
0.2700        -1150.968    -1167.950       16.982   959.0
0.2750        -1151.070    -1167.800       16.730   944.7
0.2800        -1151.118    -1166.961       15.843   894.6
0.2850        -1151.067    -1165.901       14.834   837.7
0.2900        -1150.931    -1165.162       14.231   803.6
0.2950        -1150.761    -1164.877       14.116   797.1
0.3000        -1150.575    -1164.418       13.842   781.7
0.3050        -1150.353    -1163.865       13.511   763.0
0.3100        -1150.107    -1163.537       13.430   758.4
0.3150        -1149.853    -1163.315       13.462   760.2
0.3200        -1149.611    -1163.323       13.711   774.3
0.3250        -1149.402    -1163.600       14.198   801.8
0.3300        -1149.259    -1164.237       14.978   845.8
0.3350        -1149.197    -1165.125       15.928   899.4
0.3400        -1149.239    -1166.149       16.909   954.9
0.3450        -1149.356    -1166.767       17.411   983.2
0.3500        -1149.486    -1166.405       16.919   955.4
0.3550        -1149.532    -1165.537       16.004   903.8
0.3600        -1149.513    -1165.146       15.633   882.8
0.3650        -1149.482    -1165.362       15.880   896.8
0.3700        -1149.511    -1166.168       16.657   940.6
0.3750        -1149.597    -1166.609       17.012   960.7
0.3800        -1149.690    -1166.254       16.564   935.4
0.3850        -1149.707    -1165.518       15.811   892.9
0.3900        -1149.678    -1165.274       15.596   880.7
0.3950        -1149.631    -1165.114       15.484   874.3
0.4000        -1149.587    -1165.104       15.518   876.3
0.4050        -1149.539    -1165.163       15.624   882.3
0.4100        -1149.520    -1165.520       16.000   903.5
0.4150        -1149.538    -1165.972       16.434   928.0
0.4200        -1149.599    -1166.297       16.699   943.0
0.4250        -1149.668    -1166.428       16.759   946.4
0.4300        -1149.767    -1166.956       17.190   970.7
0.4350        -1149.903    -1167.401       17.498   988.1
0.4400        -1150.043    -1166.930       16.887   953.6
0.4450        -1150.057    -1165.153       15.096   852.5
0.4500        -1149.922    -1164.131       14.209   802.4
0.4550        -1149.751    -1164.030       14.279   806.3
0.4600        -1149.637    -1165.068       15.431   871.4
0.4650        -1149.622    -1165.645       16.024   904.9
0.4700        -1149.617    -1165.170       15.553   878.3
0.4750        -1149.537    -1164.370       14.832   837.6
0.4800        -1149.422    -1164.308       14.886   840.6
0.4850        -1149.317    -1164.375       15.058   850.3
0.4900        -1149.221    -1164.238       15.018   848.0
0.4950        -1149.125    -1164.125       14.999   847.0
0.5000        -1149.050    -1164.533       15.484   874.4
0.5050        -1149.048    -1165.353       16.306   920.8
0.5100        -1149.109    -1165.880       16.771   947.0
0.5150        -1149.215    -1166.496       17.281   975.9
0.5200        -1149.368    -1167.105       17.737  1001.6
0.5250        -1149.550    -1167.310       17.760  1002.9
0.5300        -1149.702    -1166.814       17.112   966.3
0.5350        -1149.788    -1166.392       16.603   937.6
0.5400        -1149.855    -1166.409       16.554   934.8
0.5450        -1149.914    -1166.263       16.348   923.2
0.5500        -1149.944    -1165.964       16.020   904.6
0.5550        -1149.950    -1165.946       15.995   903.3
0.5600        -1149.968    -1166.147       16.179   913.6
0.5650        -1149.977    -1165.757       15.780   891.1
0.5700        -1149.934    -1165.199       15.265   862.0
0.5750        -1149.852    -1164.831       14.979   845.9
0.5800        -1149.758    -1164.892       15.134   854.6
0.5850        -1149.706    -1165.482       15.776   890.8
0.5900        -1149.714    -1165.959       16.245   917.4
0.5950        -1149.760    -1166.322       16.562   935.3
0.6000        -1149.835    -1166.629       16.795   948.4
0.6050        -1149.916    -1166.446       16.530   933.4
0.6100        -1149.930    -1165.413       15.484   874.4
0.6150        -1149.848    -1164.679       14.831   837.5
0.6200        -1149.741    -1164.780       15.039   849.2
0.6250        -1149.677    -1165.220       15.543   877.7
0.6300        -1149.642    -1165.155       15.513   876.0
0.6350        -1149.582    -1164.672       15.089   852.1
0.6400        -1149.474    -1164.171       14.697   830.0
0.6450        -1149.342    -1163.863       14.521   820.0
0.6500        -1149.184    -1163.367       14.184   800.9
0.6550        -1149.005    -1163.283       14.278   806.3
0.6600        -1148.867    -1163.886       15.019   848.1
0.6650        -1148.814    -1164.687       15.873   896.3
0.6700        -1148.837    -1165.267       16.430   927.8
0.6750        -1148.888    -1165.304       16.416   927.0
0.6800        -1148.919    -1165.040       16.121   910.4
0.6850        -1148.938    -1165.195       16.257   918.0
0.6900        -1148.984    -1165.540       16.556   934.9
0.6950        -1149.068    -1166.202       17.135   967.6
0.7000        -1149.221    -1167.091       17.869  1009.1
0.7050        -1149.429    -1167.555       18.126  1023.6
0.7100        -1149.624    -1167.091       17.467   986.4
0.7150        -1149.705    -1165.794       16.089   908.5
0.7200        -1149.684    -1165.277       15.593   880.5
0.7250        -1149.659    -1165.713       16.054   906.6
0.7300        -1149.696    -1166.315       16.620   938.5
0.7350        -1149.761    -1166.409       16.648   940.1
0.7400        -1149.818    -1166.219       16.401   926.2
0.7450        -1149.848    -1165.984       16.136   911.2
0.7500        -1149.856    -1165.926       16.070   907.4
0.7550        -1149.881    -1166.332       16.451   929.0
0.7600        -1149.946    -1166.595       16.649   940.2
0.7650        -1150.012    -1166.570       16.558   935.0
0.7700        -1150.063    -1166.449       16.386   925.3
0.7750        -1150.105    -1166.518       16.413   926.9
0.7800        -1150.154    -1166.639       16.485   930.9
0.7850        -1150.217    -1166.956       16.739   945.3
0.7900        -1150.296    -1166.933       16.637   939.5
0.7950        -1150.342    -1166.405       16.062   907.0
0.8000        -1150.318    -1165.489       15.171   856.7
0.8050        -1150.195    -1164.422       14.227   803.4
0.8100        -1150.010    -1163.887       13.877   783.6
0.8150        -1149.802    -1163.579       13.777   778.0
0.8200        -1149.589    -1163.293       13.704   773.9
0.8250        -1149.375    -1163.238       13.863   782.9
0.8300        -1149.200    -1163.792       14.592   824.0
0.8350        -1149.105    -1164.409       15.305   864.3
0.8400        -1149.065    -1164.769       15.704   886.8
0.8450        -1149.060    -1165.019       15.959   901.2
0.8500        -1149.058    -1164.791       15.733   888.4
0.8550        -1149.019    -1164.385       15.366   867.7
0.8600        -1148.977    -1164.779       15.803   892.4
0.8650        -1148.990    -1165.401       16.411   926.7
0.8700        -1149.059    -1165.816       16.757   946.2
0.8750        -1149.139    -1165.790       16.651   940.3
0.8800        -1149.192    -1165.330       16.139   911.4
0.8850        -1149.165    -1164.337       15.172   856.7
0.8900        -1149.068    -1163.891       14.822   837.0
0.8950        -1148.968    -1164.034       15.066   850.8
0.9000        -1148.904    -1164.578       15.675   885.2
0.9050        -1148.898    -1165.074       16.176   913.5
0.9100        -1148.940    -1165.587       16.647   940.0
0.9150        -1149.020    -1165.831       16.811   949.3
0.9200        -1149.102    -1165.870       16.768   946.9
0.9250        -1149.184    -1166.025       16.841   951.0
0.9300        -1149.289    -1166.609       17.321   978.1
0.9350        -1149.452    -1167.262       17.811  1005.8
0.9400        -1149.629    -1167.203       17.574   992.4
0.9450        -1149.762    -1166.605       16.843   951.1
0.9500        -1149.802    -1165.681       15.879   896.7
0.9550        -1149.769    -1165.157       15.388   868.9
0.9600        -1149.707    -1165.112       15.404   869.9
0.9650        -1149.670    -1165.421       15.751   889.5
0.9700        -1149.661    -1165.702       16.041   905.9
0.9750        -1149.707    -1166.440       16.733   944.9
0.9800        -1149.814    -1166.987       17.173   969.7
0.9850        -1149.936    -1167.011       17.076   964.3
0.9900        -1150.029    -1166.702       16.673   941.5
0.9950        -1150.084    -1166.338       16.254   917.8
1.0000        -1150.091    -1165.698       15.607   881.3
1.0050        -1150.024    -1164.827       14.803   835.9
1.0100        -1149.906    -1164.939       15.033   848.9
1.0150        -1149.860    -1165.818       15.958   901.2
1.0200        -1149.879    -1166.038       16.159   912.5
1.0250        -1149.899    -1165.837       15.938   900.0
1.0300        -1149.884    -1165.386       15.503   875.4
1.0350        -1149.834    -1165.118       15.285   863.1
1.0400        -1149.767    -1165.146       15.379   868.5
1.0450        -1149.744    -1165.974       16.229   916.5
1.0500        -1149.803    -1166.560       16.757   946.3
1.0550        -1149.864    -1166.177       16.314   921.2
1.0600        -1149.873    -1165.589       15.716   887.5
1.0650        -1149.819    -1164.964       15.145   855.2
1.0700        -1149.729    -1164.664       14.935   843.4
1.0750        -1149.633    -1164.718       15.085   851.8
1.0800        -1149.572    -1165.146       15.575   879.5
1.0850        -1149.564    -1165.758       16.194   914.5
1.0900        -1149.615    -1166.147       16.532   933.5
1.0950        -1149.657    -1165.700       16.043   906.0
1.1000        -1149.640    -1164.989       15.349   866.8
1.1050        -1149.546    -1164.225       14.679   828.9
1.1100        -1149.411    -1163.996       14.585   823.6
1.1150        -1149.302    -1164.507       15.204   858.6
1.1200        -1149.267    -1165.140       15.873   896.4
1.1250        -1149.274    -1165.357       16.083   908.2
1.1300        -1149.302    -1165.653       16.351   923.3
1.1350        -1149.356    -1165.913       16.557   935.0
1.1400        -1149.418    -1165.965       16.546   934.4
1.1450        -1149.489    -1166.157       16.668   941.2
1.1500        -1149.576    -1166.432       16.856   951.9
1.1550        -1149.651    -1165.991       16.340   922.7
1.1600        -1149.666    -1165.388       15.722   887.8
1.1650        -1149.631    -1165.139       15.507   875.7
1.1700        -1149.606    -1165.421       15.815   893.1
1.1750        -1149.590    -1165.117       15.527   876.8
1.1800        -1149.526    -1164.473       14.947   844.0
1.1850        -1149.401    -1163.862       14.461   816.6
1.1900        -1149.271    -1164.237       14.966   845.1
1.1950        -1149.218    -1165.053       15.835   894.2
1.2000        -1149.227    -1165.367       16.141   911.5
1.2050        -1149.258    -1165.552       16.295   920.1
1.2100        -1149.313    -1165.991       16.678   941.8
1.2150        -1149.418    -1166.685       17.268   975.1
1.2200        -1149.577    -1167.096       17.520   989.3
1.2250        -1149.715    -1166.567       16.852   951.7
1.2300        -1149.757    -1165.541       15.784   891.3
1.2350        -1149.724    -1165.191       15.467   873.4
1.2400        -1149.694    -1165.415       15.721   887.7
1.2450        -1149.664    -1165.040       15.375   868.2
1.2500        -1149.599    -1164.812       15.213   859.1
1.2550        -1149.529    -1165.158       15.629   882.6
1.2600        -1149.540    -1166.133       16.593   937.0
1.2650        -1149.618    -1166.232       16.615   938.2
1.2700        -1149.638    -1165.335       15.697   886.4
1.2750        -1149.594    -1165.117       15.522   876.5
1.2800        -1149.573    -1165.710       16.137   911.2
1.2850        -1149.611    -1166.017       16.406   926.4
1.2900        -1149.635    -1165.601       15.966   901.6
1.2950        -1149.641    -1165.765       16.124   910.5
1.3000        -1149.692    -1166.402       16.710   943.6
1.3050        -1149.790    -1166.879       17.088   965.0
1.3100        -1149.901    -1166.689       16.788   948.0
1.3150        -1149.969    -1166.337       16.369   924.3
1.3200        -1149.987    -1165.755       15.768   890.4
1.3250        -1149.940    -1165.160       15.220   859.5
1.3300        -1149.852    -1164.990       15.138   854.8
1.3350        -1149.788    -1165.578       15.790   891.7
1.3400        -1149.803    -1166.312       16.509   932.3
1.3450        -1149.864    -1166.549       16.685   942.2
1.3500        -1149.925    -1166.334       16.410   926.6
1.3550        -1149.953    -1166.069       16.116   910.1
1.3600        -1149.956    -1165.743       15.787   891.5
1.3650        -1149.916    -1165.196       15.279   862.8
1.3700        -1149.822    -1164.506       14.684   829.2
1.3750        -1149.702    -1164.641       14.939   843.6
1.3800        -1149.642    -1165.384       15.742   889.0
1.3850        -1149.638    -1165.519       15.881   896.8
1.3900        -1149.615    -1165.039       15.424   871.0
1.3950        -1149.552    -1164.855       15.303   864.1
1.4000        -1149.511    -1165.319       15.808   892.6
1.4050        -1149.514    -1165.511       15.997   903.4
1.4100        -1149.503    -1164.977       15.474   873.8
1.4150        -1149.422    -1164.307       14.885   840.6
1.4200        -1149.331    -1164.610       15.279   862.8
1.4250        -1149.288    -1164.948       15.660   884.3
1.4300        -1149.249    -1164.509       15.260   861.7
1.4350        -1149.150    -1163.885       14.734   832.0
1.4400        -1149.037    -1163.991       14.954   844.4
1.4450        -1148.954    -1164.149       15.195   858.1
1.4500        -1148.878    -1163.925       15.047   849.7
1.4550        -1148.777    -1163.596       14.819   836.8
1.4600        -1148.680    -1163.888       15.208   858.8
1.4650        -1148.644    -1164.783       16.139   911.4
1.4700        -1148.726    -1166.172       17.446   985.2
1.4750        -1148.904    -1166.721       17.817  1006.1
1.4800        -1149.081    -1166.625       17.544   990.7
1.4850        -1149.233    -1166.593       17.360   980.3
1.4900        -1149.373    -1166.643       17.270   975.2
1.4950        -1149.498    -1166.503       17.005   960.3
1.5000        -1149.589    -1166.226       16.638   939.5
1.5050        -1149.649    -1166.091       16.442   928.5
1.5100        -1149.701    -1166.202       16.501   931.8
1.5150        -1149.767    -1166.424       16.656   940.6
1.5200        -1149.842    -1166.504       16.662   940.9
1.5250        -1149.913    -1166.550       16.637   939.5
1.5300        -1149.989    -1166.802       16.812   949.4
1.5350        -1150.086    -1167.036       16.950   957.2
1.5400        -1150.170    -1166.575       16.404   926.3
1.5450        -1150.166    -1165.471       15.305   864.3
1.5500        -1150.067    -1164.653       14.587   823.7
1.5550        -1149.915    -1164.278       14.363   811.1
1.5600        -1149.777    -1164.626       14.849   838.5
1.5650        -1149.690    -1164.983       15.292   863.6
1.5700        -1149.636    -1165.140       15.504   875.5
1.5750        -1149.593    -1165.121       15.528   876.9
