Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1157.940    -1177.369       19.429  1105.2
0.0050        -1157.775    -1175.905       18.129  1031.3
0.0100        -1157.688    -1172.686       14.997   853.1
0.0150        -1157.306    -1169.947       12.641   719.1
0.0200        -1156.762    -1168.496       11.734   667.5
0.0250        -1156.144    -1167.156       11.012   626.4
0.0300        -1155.437    -1165.434        9.997   568.7
0.0350        -1154.647    -1164.208        9.561   543.9
0.0400        -1153.880    -1164.380       10.500   597.3
0.0450        -1153.219    -1164.653       11.434   650.4
0.0500        -1152.607    -1164.090       11.483   653.2
0.0550        -1152.006    -1163.727       11.721   666.7
0.0600        -1151.468    -1164.185       12.717   723.4
0.0650        -1151.036    -1164.739       13.703   779.5
0.0700        -1150.651    -1164.153       13.502   768.0
0.0750        -1150.187    -1162.422       12.235   696.0
0.0800        -1149.614    -1161.298       11.685   664.7
0.0850        -1149.038    -1161.151       12.113   689.1
0.0900        -1148.537    -1161.373       12.835   730.1
0.0950        -1148.070    -1160.993       12.923   735.1
0.1000        -1147.590    -1160.489       12.900   733.8
0.1050        -1147.146    -1160.535       13.389   761.6
0.1100        -1146.751    -1160.444       13.692   778.9
0.1150        -1146.388    -1160.569       14.181   806.7
0.1200        -1146.043    -1160.368       14.324   814.8
0.1250        -1145.699    -1159.894       14.195   807.5
0.1300        -1145.365    -1159.577       14.213   808.5
0.1350        -1145.027    -1159.350       14.323   814.7
0.1400        -1144.744    -1159.812       15.068   857.2
0.1450        -1144.560    -1160.685       16.124   917.2
0.1500        -1144.491    -1162.035       17.543   997.9
0.1550        -1144.553    -1162.947       18.393  1046.3
0.1600        -1144.655    -1163.022       18.368  1044.8
0.1650        -1144.700    -1162.178       17.478   994.3
0.1700        -1144.675    -1161.781       17.106   973.1
0.1750        -1144.605    -1161.441       16.837   957.7
0.1800        -1144.538    -1161.569       17.031   968.8
0.1850        -1144.451    -1161.089       16.638   946.4
0.1900        -1144.341    -1161.064       16.723   951.3
0.1950        -1144.254    -1161.315       17.061   970.5
0.2000        -1144.193    -1161.454       17.261   981.9
0.2050        -1144.183    -1161.747       17.564   999.1
0.2100        -1144.176    -1161.645       17.469   993.7
0.2150        -1144.192    -1161.931       17.739  1009.1
0.2200        -1144.244    -1162.347       18.103  1029.8
0.2250        -1144.323    -1162.733       18.410  1047.3
0.2300        -1144.403    -1162.749       18.346  1043.6
0.2350        -1144.491    -1163.199       18.708  1064.2
0.2400        -1144.585    -1163.154       18.569  1056.3
0.2450        -1144.649    -1162.725       18.076  1028.2
0.2500        -1144.691    -1162.535       17.844  1015.1
0.2550        -1144.738    -1162.938       18.200  1035.3
0.2600        -1144.858    -1164.039       19.181  1091.1
0.2650        -1145.032    -1164.334       19.302  1098.0
0.2700        -1145.171    -1163.915       18.744  1066.2
0.2750        -1145.259    -1163.120       17.861  1016.0
0.2800        -1145.254    -1162.199       16.945   963.9
0.2850        -1145.184    -1161.866       16.682   949.0
0.2900        -1145.089    -1161.450       16.361   930.7
0.2950        -1144.944    -1161.017       16.073   914.3
0.3000        -1144.776    -1160.500       15.724   894.5
0.3050        -1144.551    -1159.712       15.161   862.4
0.3100        -1144.316    -1159.369       15.053   856.3
0.3150        -1144.071    -1158.909       14.838   844.0
0.3200        -1143.820    -1159.025       15.205   864.9
0.3250        -1143.596    -1159.333       15.737   895.2
0.3300        -1143.449    -1160.208       16.759   953.3
0.3350        -1143.417    -1161.021       17.604  1001.4
0.3400        -1143.416    -1160.639       17.222   979.7
0.3450        -1143.357    -1159.767       16.410   933.5
0.3500        -1143.217    -1159.112       15.895   904.2
0.3550        -1143.050    -1159.122       16.071   914.2
0.3600        -1142.933    -1159.801       16.868   959.5
0.3650        -1142.887    -1160.081       17.195   978.1
0.3700        -1142.831    -1159.681       16.850   958.5
0.3750        -1142.760    -1159.881       17.121   973.9
0.3800        -1142.756    -1160.815       18.059  1027.3
0.3850        -1142.829    -1161.271       18.442  1049.1
0.3900        -1142.898    -1160.914       18.016  1024.8
0.3950        -1142.922    -1160.550       17.628  1002.8
0.4000        -1142.930    -1160.670       17.740  1009.2
0.4050        -1142.965    -1161.044       18.079  1028.4
0.4100        -1143.016    -1161.039       18.022  1025.2
0.4150        -1143.045    -1160.786       17.741  1009.2
0.4200        -1143.055    -1160.833       17.778  1011.3
0.4250        -1143.104    -1161.710       18.606  1058.4
0.4300        -1143.251    -1162.780       19.529  1110.9
0.4350        -1143.458    -1163.098       19.640  1117.2
0.4400        -1143.637    -1162.664       19.027  1082.3
0.4450        -1143.755    -1162.280       18.525  1053.8
0.4500        -1143.841    -1162.240       18.399  1046.6
0.4550        -1143.919    -1162.127       18.209  1035.8
0.4600        -1143.955    -1161.519       17.564   999.1
0.4650        -1143.932    -1161.090       17.158   976.0
0.4700        -1143.896    -1161.277       17.382   988.7
0.4750        -1143.890    -1161.435       17.545   998.0
0.4800        -1143.861    -1160.750       16.889   960.7
0.4850        -1143.758    -1159.998       16.241   923.8
0.4900        -1143.625    -1160.100       16.475   937.2
0.4950        -1143.556    -1160.943       17.388   989.1
0.5000        -1143.559    -1161.231       17.672  1005.3
0.5050        -1143.542    -1160.647       17.105   973.0
0.5100        -1143.476    -1160.292       16.816   956.6
0.5150        -1143.399    -1160.349       16.950   964.2
0.5200        -1143.374    -1161.058       17.684  1006.0
0.5250        -1143.399    -1161.155       17.756  1010.0
0.5300        -1143.381    -1160.417       17.036   969.1
0.5350        -1143.316    -1160.224       16.908   961.8
0.5400        -1143.269    -1160.773       17.504   995.7
0.5450        -1143.300    -1161.560       18.260  1038.7
0.5500        -1143.362    -1161.317       17.955  1021.4
0.5550        -1143.350    -1160.349       16.999   967.0
0.5600        -1143.274    -1159.967       16.693   949.6
0.5650        -1143.193    -1159.969       16.776   954.3
0.5700        -1143.109    -1159.639       16.530   940.3
0.5750        -1142.976    -1158.844       15.868   902.6
