Epoch,Train Loss,Validation Loss
0,8.760385,5.782248
1,6.070067,5.950463
2,5.947214,5.564318
3,5.99544,5.681818
4,6.572689,5.979223
5,4.613896,5.018882
6,5.09268,4.405831
7,3.64647,5.322627
8,3.314681,3.118077
9,2.586575,3.608071
10,2.531411,3.209724
11,2.612333,2.888588
12,2.449374,2.649586
13,1.747311,2.591745
14,1.584849,2.859638
15,1.600505,3.014705
16,1.412033,2.705246
17,1.116858,2.689278
18,1.262508,2.932469
19,1.223275,2.627719
20,1.07647,3.263519
21,1.039968,2.989
22,0.876171,3.34841
23,0.947716,2.82326
24,0.918767,2.920428
25,0.77051,2.60017
26,1.011086,2.703672
27,0.773605,2.639669
28,0.601177,2.672015
29,0.482237,2.744938
30,0.471383,2.818486
31,0.477604,2.797335
32,0.361428,2.738451
33,0.422403,2.979499
34,0.327603,2.917588
35,0.306274,2.900099
36,0.254664,3.001147
37,0.237688,3.012887
38,0.22544,2.943894
39,0.219679,2.986184
40,0.188024,2.972072
41,0.189745,2.981509
42,0.184309,2.98101
43,0.171972,3.010346
44,0.17307,3.014329
45,0.170086,3.011046
46,0.153306,3.007275
47,0.156001,3.007209
48,0.151555,3.010168
49,0.147884,3.01196
