Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -238.2757    -238.2757       0.0000     0.0
0.1000         -47.1875    -218.9425     171.7550  221459.4
0.2000        -166.2829    -219.7675      53.4845  68962.5
0.3000        -133.5892    -220.9899      87.4007  112693.7
0.4000        -138.8723    -222.1282      83.2560  107349.5
0.5000        -195.0976    -222.8595      27.7618  35795.9
0.6000        -157.1255    -222.0128      64.8873  83665.1
0.7000        -145.9762    -220.2493      74.2731  95767.1
0.8000        -128.6027    -222.4016      93.7990  120943.6
0.9000        -197.5849    -222.3157      24.7308  31887.7
1.0000        -216.1920    -222.0564       5.8644  7561.5
1.1000        -219.6518    -222.2916       2.6398  3403.8
1.2000        -221.2013    -222.6199       1.4186  1829.1
1.3000        -221.8184    -222.8090       0.9906  1277.3
1.4000        -222.0607    -222.6744       0.6136   791.2
1.5000        -222.1638    -222.5809       0.4171   537.8
1.6000        -222.2108    -222.6632       0.4524   583.3
1.7000        -222.2319    -222.7733       0.5415   698.2
1.8000        -222.2407    -222.7404       0.4997   644.3
1.9000        -222.2428    -222.6679       0.4251   548.2
2.0000        -222.2457    -222.7182       0.4725   609.2
