Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -42.9591     -42.9591       0.0000     0.0
0.1000         -43.6049     -44.5332       0.9283  1196.9
0.2000         -43.8905     -44.5994       0.7089   914.1
0.3000         -44.0276     -44.6838       0.6562   846.0
0.4000         -44.1448     -44.8037       0.6589   849.6
0.5000         -44.2086     -44.6292       0.4206   542.3
0.6000         -44.2544     -44.5326       0.2782   358.7
0.7000         -44.2337     -44.7499       0.5162   665.6
0.8000         -44.2862     -44.8509       0.5647   728.1
0.9000         -44.2494     -44.7710       0.5216   672.5
1.0000         -44.2511     -44.7334       0.4823   621.9
1.1000         -44.2469     -44.8781       0.6313   813.9
1.2000         -44.2423     -44.8101       0.5679   732.2
1.3000         -44.2511     -44.7922       0.5411   697.7
1.4000         -44.2710     -44.7401       0.4692   604.9
1.5000         -44.2830     -44.7364       0.4534   584.6
1.6000         -44.3130     -44.7673       0.4543   585.7
1.7000         -44.3296     -44.8678       0.5382   693.9
1.8000         -44.2857     -44.7680       0.4824   621.9
1.9000         -44.2682     -44.6228       0.3546   457.2
2.0000         -44.2801     -44.7823       0.5022   647.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -42.9591     -42.9591       0.0000     0.0
0.1000         -43.5986     -44.2554       0.6568   846.8
0.2000         -43.9216     -44.6177       0.6961   897.5
0.3000         -44.0209     -44.5661       0.5452   702.9
0.4000         -44.1354     -44.5688       0.4334   558.8
0.5000         -44.2323     -44.5111       0.2788   359.5
0.6000         -44.2479     -44.7182       0.4702   606.3
0.7000         -44.2265     -44.6610       0.4345   560.2
0.8000         -44.2740     -44.7375       0.4635   597.7
0.9000         -44.2654     -44.6820       0.4166   537.1
1.0000         -44.2591     -44.7161       0.4570   589.2
1.1000         -44.2557     -44.7751       0.5194   669.7
1.2000         -44.2359     -44.7657       0.5298   683.1
1.3000         -44.2623     -44.6171       0.3548   457.5
1.4000         -44.2682     -44.8434       0.5752   741.6
1.5000         -44.2632     -44.5873       0.3242   418.0
1.6000         -44.3132     -44.7931       0.4799   618.8
1.7000         -44.3138     -44.7049       0.3912   504.4
1.8000         -44.3525     -44.8985       0.5460   704.0
1.9000         -44.2360     -44.7846       0.5487   707.4
2.0000         -44.2883     -44.6044       0.3161   407.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -42.9591     -42.9591       0.0000     0.0
0.1000         -43.6031     -44.5333       0.9302  1199.4
0.2000         -43.8447     -44.5137       0.6690   862.6
0.3000         -44.0164     -44.6389       0.6225   802.7
0.4000         -44.1679     -44.4690       0.3010   388.1
0.5000         -44.2349     -44.7831       0.5481   706.7
0.6000         -44.2326     -44.8133       0.5808   748.8
0.7000         -44.2766     -44.6053       0.3287   423.9
0.8000         -44.2737     -44.7974       0.5238   675.3
0.9000         -44.2700     -44.5784       0.3084   397.6
1.0000         -44.2793     -44.7221       0.4428   570.9
1.1000         -44.2651     -44.6381       0.3731   481.1
1.2000         -44.3268     -44.7926       0.4658   600.6
1.3000         -44.3046     -44.7055       0.4009   516.9
1.4000         -44.3190     -44.7374       0.4184   539.5
1.5000         -44.3168     -44.9173       0.6005   774.3
1.6000         -44.3068     -44.6326       0.3258   420.1
1.7000         -44.2716     -44.6288       0.3572   460.5
1.8000         -44.2670     -44.7276       0.4606   593.9
1.9000         -44.2790     -44.8380       0.5590   720.7
2.0000         -44.2290     -44.6766       0.4476   577.2
