Epoch,Train Loss,Validation Loss
0,32.730442,25.80484
1,16.104687,13.495586
2,8.22593,6.102051
3,3.102588,1.857365
4,1.687445,0.800198
5,1.125383,1.648701
6,1.04269,1.170193
7,0.809426,0.393417
8,0.58974,0.235043
9,0.417262,0.647972
10,0.42062,0.456951
11,0.328576,0.117435
12,0.20351,0.27047
13,0.19259,0.21949
14,0.166832,0.07143
15,0.105011,0.187809
16,0.130705,0.033794
17,0.069268,0.044243
18,0.076366,0.12323
19,0.073919,0.077065
20,0.044735,0.015316
21,0.024541,0.040215
22,0.024465,0.066391
23,0.030613,0.038322
24,0.023486,0.016933
25,0.040094,0.018559
26,0.023244,0.05138
27,0.022243,0.026768
28,0.022113,0.031349
29,0.046074,0.057152
30,0.024144,0.06538
31,0.02167,0.003952
32,0.034772,0.032665
33,0.053155,0.003296
34,0.039974,0.086407
35,0.045715,0.087528
36,0.052412,0.04163
37,0.053607,0.040367
38,0.062491,0.043232
39,0.025994,0.081028
40,0.037727,0.040009
41,0.026653,0.002602
42,0.034196,0.03767
43,0.04566,0.005718
44,0.036864,0.011143
45,0.02575,0.02512
46,0.013226,0.028595
47,0.015535,0.020226
48,0.022371,0.009243
49,0.031914,0.005947
