Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -43.4121     -43.4121       0.0000     0.0
0.2000         -43.4268     -43.4268       0.0000     0.0
0.4000         -43.4113     -43.4272       0.0159    24.7
0.6000         -43.2835     -43.3281       0.0445    68.9
0.8000         -43.1930     -43.3061       0.1132   175.1
1.0000         -43.1666     -43.3691       0.2025   313.3
1.2000         -43.1357     -43.2260       0.0903   139.7
1.4000         -43.1248     -43.3833       0.2585   400.0
1.6000         -43.1225     -43.2536       0.1311   202.8
1.8000         -43.1099     -43.2950       0.1851   286.4
2.0000         -43.1187     -43.3619       0.2432   376.4
2.2000         -43.1124     -43.2483       0.1359   210.2
2.4000         -43.1107     -43.3341       0.2234   345.6
2.6000         -43.1170     -43.2966       0.1797   278.0
2.8000         -43.1117     -43.2998       0.1881   291.0
3.0000         -43.1140     -43.3056       0.1916   296.5
3.2000         -43.1139     -43.3235       0.2096   324.3
3.4000         -43.1181     -43.3041       0.1860   287.7
3.6000         -43.1099     -43.2548       0.1449   224.2
3.8000         -43.1126     -43.3802       0.2677   414.1
4.0000         -43.1173     -43.2697       0.1524   235.8
4.2000         -43.1079     -43.2764       0.1685   260.7
4.4000         -43.1165     -43.3663       0.2497   386.4
4.6000         -43.1152     -43.2804       0.1652   255.6
4.8000         -43.1063     -43.2609       0.1545   239.1
5.0000         -43.1128     -43.3688       0.2560   396.1
5.2000         -43.1178     -43.2787       0.1609   248.9
5.4000         -43.1060     -43.2631       0.1571   243.0
5.6000         -43.1127     -43.3453       0.2326   359.9
5.8000         -43.1140     -43.3054       0.1915   296.3
6.0000         -43.1080     -43.2829       0.1749   270.7
6.2000         -43.1098     -43.3195       0.2096   324.3
6.4000         -43.1141     -43.3059       0.1918   296.8
6.6000         -43.1088     -43.2942       0.1854   286.9
6.8000         -43.1104     -43.3037       0.1933   299.1
7.0000         -43.1101     -43.3134       0.2034   314.7
7.2000         -43.1107     -43.3069       0.1962   303.6
7.4000         -43.1100     -43.2821       0.1721   266.3
7.6000         -43.1075     -43.3250       0.2175   336.5
7.8000         -43.1122     -43.3393       0.2271   351.4
8.0000         -43.1099     -43.2778       0.1679   259.8
8.2000         -43.1053     -43.2890       0.1837   284.2
8.4000         -43.1070     -43.3283       0.2213   342.4
8.6000         -43.1112     -43.3077       0.1965   304.1
8.8000         -43.1082     -43.2804       0.1723   266.5
9.0000         -43.1042     -43.2803       0.1761   272.5
9.2000         -43.1075     -43.3310       0.2235   345.7
9.4000         -43.1090     -43.3029       0.1938   299.9
9.6000         -43.1066     -43.2719       0.1653   255.8
9.8000         -43.1040     -43.3430       0.2391   369.9
10.0000        -43.1104     -43.3184       0.2080   321.8
10.2000        -43.1079     -43.2461       0.1382   213.9
10.4000        -43.1026     -43.3067       0.2042   315.9
10.6000        -43.1101     -43.3372       0.2271   351.4
10.8000        -43.1092     -43.2760       0.1668   258.1
11.0000        -43.1033     -43.2714       0.1681   260.1
11.2000        -43.1051     -43.3431       0.2380   368.2
11.4000        -43.1101     -43.2914       0.1813   280.4
11.6000        -43.1031     -43.2888       0.1857   287.3
11.8000        -43.1051     -43.3348       0.2296   355.3
12.0000        -43.1084     -43.2961       0.1877   290.4
12.2000        -43.1057     -43.2625       0.1568   242.7
12.4000        -43.1039     -43.2749       0.1710   264.6
12.6000        -43.1039     -43.2907       0.1868   289.1
12.8000        -43.1082     -43.3635       0.2553   395.0
13.0000        -43.1070     -43.2656       0.1586   245.4
13.2000        -43.1044     -43.2802       0.1758   272.0
13.4000        -43.1044     -43.3361       0.2317   358.4
13.6000        -43.1049     -43.2874       0.1825   282.4
13.8000        -43.1044     -43.3354       0.2310   357.4
14.0000        -43.1098     -43.2991       0.1893   292.9
14.2000        -43.1029     -43.2295       0.1266   195.9
14.4000        -43.1025     -43.3252       0.2227   344.6
14.6000        -43.1107     -43.3372       0.2264   350.3
14.8000        -43.1068     -43.2670       0.1602   247.9
15.0000        -43.1012     -43.2924       0.1912   295.8
15.2000        -43.1052     -43.3297       0.2245   347.4
15.4000        -43.1072     -43.2786       0.1714   265.2
15.6000        -43.1043     -43.2863       0.1820   281.6
15.8000        -43.1057     -43.3281       0.2224   344.1
16.0000        -43.1048     -43.2931       0.1883   291.4
16.2000        -43.1055     -43.2902       0.1846   285.7
16.4000        -43.1049     -43.2971       0.1922   297.3
16.6000        -43.1049     -43.3130       0.2081   322.0
16.8000        -43.1051     -43.3143       0.2093   323.8
17.0000        -43.1075     -43.2825       0.1750   270.8
17.2000        -43.1038     -43.3008       0.1971   304.9
17.4000        -43.1021     -43.3096       0.2075   321.1
17.6000        -43.1084     -43.3289       0.2205   341.2
17.8000        -43.1066     -43.2720       0.1654   255.9
18.0000        -43.1041     -43.2881       0.1840   284.6
18.2000        -43.1034     -43.3121       0.2088   323.0
18.4000        -43.1079     -43.3023       0.1944   300.8
18.6000        -43.1076     -43.2815       0.1738   269.0
18.8000        -43.1015     -43.2959       0.1944   300.8
19.0000        -43.1066     -43.3265       0.2199   340.2
19.2000        -43.1066     -43.2806       0.1740   269.3
19.4000        -43.1041     -43.2833       0.1792   277.3
19.6000        -43.1037     -43.2851       0.1813   280.5
19.8000        -43.1031     -43.3066       0.2036   315.0
20.0000        -43.1074     -43.3137       0.2063   319.2
20.2000        -43.1035     -43.2980       0.1945   300.9
20.4000        -43.1029     -43.2879       0.1849   286.2
20.6000        -43.1060     -43.2863       0.1803   279.0
20.8000        -43.1039     -43.2872       0.1833   283.6
21.0000        -43.1031     -43.3248       0.2217   343.0
21.2000        -43.1046     -43.3118       0.2072   320.7
21.4000        -43.1077     -43.2786       0.1709   264.4
21.6000        -43.1013     -43.2780       0.1767   273.4
21.8000        -43.1049     -43.3259       0.2210   341.9
22.0000        -43.1057     -43.2853       0.1796   277.9
22.2000        -43.1015     -43.2832       0.1817   281.2
22.4000        -43.1059     -43.3144       0.2086   322.7
22.6000        -43.1056     -43.2750       0.1695   262.2
22.8000        -43.1014     -43.3085       0.2070   320.4
23.0000        -43.1040     -43.3241       0.2201   340.5
23.2000        -43.1092     -43.2733       0.1641   253.9
23.4000        -43.1024     -43.2984       0.1959   303.2
23.6000        -43.1015     -43.3091       0.2076   321.2
23.8000        -43.1053     -43.3231       0.2178   337.0
24.0000        -43.1084     -43.2828       0.1744   269.9
24.2000        -43.1022     -43.2595       0.1573   243.4
24.4000        -43.1024     -43.3425       0.2401   371.5
24.6000        -43.1085     -43.2878       0.1793   277.4
24.8000        -43.1009     -43.2778       0.1769   273.8
25.0000        -43.1029     -43.3505       0.2476   383.0
25.2000        -43.1088     -43.3043       0.1955   302.5
25.4000        -43.1034     -43.2535       0.1501   232.3
25.6000        -43.0990     -43.2960       0.1970   304.8
25.8000        -43.1056     -43.3342       0.2286   353.7
26.0000        -43.1062     -43.2785       0.1723   266.5
26.2000        -43.1024     -43.2712       0.1688   261.2
26.4000        -43.1011     -43.3076       0.2065   319.6
26.6000        -43.1034     -43.3115       0.2081   322.0
26.8000        -43.1049     -43.2809       0.1760   272.3
27.0000        -43.1030     -43.2989       0.1959   303.1
27.2000        -43.1018     -43.2993       0.1975   305.6
27.4000        -43.1047     -43.2968       0.1921   297.3
27.6000        -43.1052     -43.2826       0.1774   274.5
27.8000        -43.1020     -43.3004       0.1984   307.0
28.0000        -43.1018     -43.3219       0.2201   340.5
28.2000        -43.1060     -43.3086       0.2025   313.4
28.4000        -43.1033     -43.2643       0.1610   249.1
28.6000        -43.1018     -43.2685       0.1668   258.0
28.8000        -43.1014     -43.3173       0.2159   334.1
29.0000        -43.1057     -43.3445       0.2389   369.6
29.2000        -43.1070     -43.2819       0.1748   270.5
29.4000        -43.1030     -43.2766       0.1736   268.5
29.6000        -43.1008     -43.3108       0.2099   324.8
29.8000        -43.1052     -43.3066       0.2014   311.6
30.0000        -43.1065     -43.2890       0.1825   282.4
30.2000        -43.1034     -43.2798       0.1765   273.1
30.4000        -43.1005     -43.3098       0.2093   323.8
30.6000        -43.1086     -43.3245       0.2159   334.1
30.8000        -43.1066     -43.2809       0.1744   269.8
31.0000        -43.1025     -43.2719       0.1694   262.1
31.2000        -43.1029     -43.3201       0.2171   336.0
31.4000        -43.1077     -43.3199       0.2122   328.3
31.6000        -43.1059     -43.2869       0.1810   280.0
31.8000        -43.1040     -43.2831       0.1791   277.2
32.0000        -43.1052     -43.3085       0.2033   314.6
32.2000        -43.1060     -43.2901       0.1841   284.9
32.4000        -43.1045     -43.2912       0.1867   288.9
32.6000        -43.1054     -43.3216       0.2162   334.6
32.8000        -43.1070     -43.2961       0.1891   292.5
33.0000        -43.1058     -43.2807       0.1749   270.7
33.2000        -43.1059     -43.3105       0.2046   316.6
33.4000        -43.1059     -43.2801       0.1742   269.5
33.6000        -43.1040     -43.3171       0.2131   329.7
33.8000        -43.1074     -43.3115       0.2041   315.8
34.0000        -43.1064     -43.2767       0.1703   263.4
34.2000        -43.1037     -43.2832       0.1795   277.8
34.4000        -43.1052     -43.3249       0.2198   340.1
34.6000        -43.1078     -43.2917       0.1839   284.6
34.8000        -43.1033     -43.2763       0.1730   267.7
35.0000        -43.1023     -43.3350       0.2327   360.0
35.2000        -43.1073     -43.3251       0.2179   337.1
35.4000        -43.1073     -43.2698       0.1625   251.5
